A 0,89,33,51,98,10,35,19,73,12,90,30,82,70,88
B 89,0,59,85,10,92,16,81,32,62,62,64,2,98,69
C 33,59,0,80,5,62,13,59,12,17,21,69,79,3,18
D 51,85,80,0,72,99,67,15,4,40,63,28,2,75,63
E 98,10,5,72,0,95,18,33,85,38,56,72,47,1,16
F 10,92,62,99,95,0,55,85,31,2,64,4,90,90,59
G 35,16,13,67,18,55,0,4,40,16,71,76,95,2,60
H 19,81,59,15,33,85,4,0,23,79,71,100,42,23,60
I 73,32,12,4,85,31,40,23,0,77,93,11,57,2,32
J 12,62,17,40,38,2,16,79,77,0,71,83,90,88,16
K 90,62,21,63,56,64,71,71,93,71,0,59,91,90,42
L 30,64,69,28,72,4,76,100,11,83,59,0,77,16,73
M 82,2,79,2,47,90,95,42,57,90,91,77,0,31,85
N 70,98,3,75,1,90,2,23,2,88,90,16,31,0,10
O 88,69,18,63,16,59,60,60,32,16,42,73,85,10,0
