A 0,8,46,40,65,38,53,44,69,53,89,47,92,72,76,56,47,60,31,74
B 8,0,49,2,99,31,56,41,23,20,21,12,73,90,40,27,73,1,66,10
C 46,49,0,51,86,51,96,47,6,54,41,30,72,79,17,40,6,57,73,86
D 40,2,51,0,18,36,76,46,50,86,93,62,74,62,9,8,49,62,33,97
E 65,99,86,18,0,29,1,40,35,60,10,64,23,62,84,76,87,72,45,58
F 38,31,51,36,29,0,2,46,36,49,86,14,85,14,83,9,49,53,16,37
G 53,56,96,76,1,2,0,85,34,54,93,67,83,67,43,21,44,90,18,70
H 44,41,47,46,40,46,85,0,62,53,3,34,14,34,73,91,7,56,82,83
I 69,23,6,50,35,36,34,62,0,37,11,7,1,66,24,51,3,85,37,32
J 53,20,54,86,60,49,54,53,37,0,51,43,36,15,44,34,44,45,63,39
K 89,21,41,93,10,86,93,3,11,51,0,49,68,99,91,17,71,16,7,65
L 47,12,30,62,64,14,67,34,7,43,49,0,58,88,23,70,2,56,96,76
M 92,73,72,74,23,85,83,14,1,36,68,58,0,69,100,77,62,65,20,45
N 72,90,79,62,62,14,67,34,66,15,99,88,69,0,97,43,83,9,75,2
O 76,40,17,9,84,83,43,73,24,44,91,23,100,97,0,54,7,17,14,39
P 56,27,40,8,76,9,21,91,51,34,17,70,77,43,54,0,67,7,45,45
Q 47,73,6,49,87,49,44,7,3,44,71,2,62,83,7,67,0,98,29,54
R 60,1,57,62,72,53,90,56,85,45,16,56,65,9,17,7,98,0,41,5
S 31,66,73,33,45,16,18,82,37,63,7,96,20,75,14,45,29,41,0,1
T 74,10,86,97,58,37,70,83,32,39,65,76,45,2,39,45,54,5,1,0
