A 0,71,56,2,12,65,1,76,1,47,25,11,37,23,48,18,68,19,67,15,93,3,76,4,30,91,83,44,24,7,36,45,48,52,100,55,44,69,18,77,9,14,1,87,50,11,18,63,12,61
B 71,0,90,70,48,16,9,19,31,97,5,33,67,44,27,64,19,99,71,24,60,89,73,49,56,38,60,59,80,99,90,4,17,64,94,100,46,17,9,25,79,44,15,31,54,85,7,51,82,79
C 56,90,0,32,56,27,56,2,42,47,88,2,21,97,3,68,24,19,47,98,41,27,81,39,41,70,28,9,76,29,73,70,12,54,27,94,45,5,58,59,21,39,51,86,65,54,82,29,87,53
D 2,70,32,0,88,70,2,2,76,60,97,16,58,85,68,20,34,95,61,25,67,99,54,44,30,1,45,61,77,33,11,97,21,21,81,82,2,58,16,19,91,84,17,35,20,44,65,21,68,99
E 12,48,56,88,0,96,79,37,72,39,76,17,5,33,89,22,60,40,91,49,72,56,15,64,37,58,31,22,76,8,23,84,77,10,67,28,45,67,90,89,2,97,89,68,12,92,93,87,75,2
F 65,16,27,70,96,0,64,29,2,23,17,45,60,42,41,10,92,93,10,33,79,22,62,5,48,15,45,75,75,83,27,48,60,62,96,51,3,23,17,43,70,34,73,78,1,92,63,5,11,56
G 1,9,56,2,79,64,0,4,49,18,97,71,40,33,91,49,87,97,15,1,68,88,51,89,86,82,92,9,35,78,74,74,45,22,37,34,67,99,27,1,31,66,30,50,14,10,1,41,9,61
H 76,19,2,2,37,29,4,0,50,76,44,18,47,52,72,72,85,3,67,27,14,49,26,68,40,97,86,28,44,29,40,57,75,40,68,14,25,34,83,34,12,41,65,92,83,34,62,3,63,47
I 1,31,42,76,72,2,49,50,0,89,22,88,37,18,11,43,32,5,3,5,61,45,89,85,84,20,89,38,26,71,63,65,87,53,62,83,40,46,7,83,93,50,35,87,98,88,5,42,37,24
J 47,97,47,60,39,23,18,76,89,0,30,36,78,97,51,34,10,22,65,99,73,59,56,5,95,2,48,54,59,52,8,98,62,78,56,96,85,32,80,57,57,52,82,45,74,69,67,70,95,88
K 25,5,88,97,76,17,97,44,22,30,0,82,72,50,20,87,80,13,32,84,73,13,3,71,25,16,60,3,20,67,14,12,91,85,63,43,4,95,73,75,84,24,73,90,34,35,40,52,57,45
L 11,33,2,16,17,45,71,18,88,36,82,0,76,40,64,26,63,76,96,28,77,74,4,65,18,37,63,21,47,47,20,93,56,76,16,80,64,59,37,28,44,63,55,76,68,12,58,30,34,9
M 37,67,21,58,5,60,40,47,37,78,72,76,0,23,1,19,63,23,8,53,17,39,4,34,9,20,59,76,86,72,68,14,83,33,8,19,29,37,82,99,62,23,43,16,45,7,96,57,74,18
N 23,44,97,85,33,42,33,52,18,97,50,40,23,0,99,99,63,73,93,55,63,23,96,84,96,40,75,46,56,96,89,20,76,1,97,10,90,21,68,12,55,12,9,4,52,98,48,42,98,96
O 48,27,3,68,89,41,91,72,11,51,20,64,1,99,0,80,55,95,53,26,69,68,45,48,89,5,55,67,2,91,88,11,65,99,45,76,29,100,71,19,18,13,39,4,47,41,49,72,58,50
P 18,64,68,20,22,10,49,72,43,34,87,26,19,99,80,0,47,57,59,45,16,71,54,99,37,59,75,58,7,40,65,51,89,18,83,61,83,93,10,29,89,70,1,78,49,61,46,32,47,82
Q 68,19,24,34,60,92,87,85,32,10,80,63,63,63,55,47,0,85,48,90,90,80,21,53,92,76,83,57,44,45,64,9,6,17,74,64,45,57,9,6,49,100,13,52,62,55,7,27,63,6
R 19,99,19,95,40,93,97,3,5,22,13,76,23,73,95,57,85,0,22,42,88,9,53,72,94,37,1,97,16,61,57,17,92,7,5,96,46,37,97,43,28,61,85,22,18,22,58,92,7,85
S 67,71,47,61,91,10,15,67,3,65,32,96,8,93,53,59,48,22,0,71,65,16,66,59,39,8,62,5,52,44,66,13,92,22,50,12,85,45,63,30,35,91,38,29,25,15,9,60,85,44
T 15,24,98,25,49,33,1,27,5,99,84,28,53,55,26,45,90,42,71,0,78,3,22,9,23,23,63,92,98,59,22,41,5,84,20,66,66,78,51,35,54,16,45,34,85,59,23,44,14,25
U 93,60,41,67,72,79,68,14,61,73,73,77,17,63,69,16,90,88,65,78,0,75,7,51,99,67,91,37,85,52,86,14,34,81,11,80,83,50,90,50,21,91,95,36,9,16,25,13,82,6
V 3,89,27,99,56,22,88,49,45,59,13,74,39,23,68,71,80,9,16,3,75,0,83,34,87,82,21,79,12,18,22,18,17,68,31,14,46,6,53,55,77,92,90,54,70,53,73,75,34,35
W 76,73,81,54,15,62,51,26,89,56,3,4,4,96,45,54,21,53,66,22,7,83,0,13,59,89,59,27,40,56,71,77,48,55,19,68,54,93,86,70,21,70,98,65,29,16,55,82,90,15
X 4,49,39,44,64,5,89,68,85,5,71,65,34,84,48,99,53,72,59,9,51,34,13,0,56,13,24,75,11,54,10,72,94,61,20,59,29,17,68,20,95,16,63,48,35,85,52,43,54,42
Y 30,56,41,30,37,48,86,40,84,95,25,18,9,96,89,37,92,94,39,23,99,87,59,56,0,59,69,90,88,3,53,27,51,61,25,75,69,80,6,6,10,62,78,100,82,24,22,42,84,38
Z 91,38,70,1,58,15,82,97,20,2,16,37,20,40,5,59,76,37,8,23,67,82,89,13,59,0,10,87,4,5,94,37,80,48,1,2,16,17,24,65,85,71,3,30,60,67,18,7,48,18
a 83,60,28,45,31,45,92,86,89,48,60,63,59,75,55,75,83,1,62,63,91,21,59,24,69,10,0,91,79,15,56,95,2,84,8,34,17,90,91,34,45,53,24,21,43,76,31,43,80,5
b 44,59,9,61,22,75,9,28,38,54,3,21,76,46,67,58,57,97,5,92,37,79,27,75,90,87,91,0,3,51,82,14,95,57,23,83,93,38,81,36,63,35,31,10,12,31,59,14,25,73
c 24,80,76,77,76,75,35,44,26,59,20,47,86,56,2,7,44,16,52,98,85,12,40,11,88,4,79,3,0,3,52,6,86,92,37,11,13,4,45,49,80,72,67,93,68,18,93,61,37,75
