A 0,90,1,57,59,22,2,32,17,65,5,86,29,59,66,80,27,15,60,27,35,44,92,86,28,63,83,76,32,98,69,20,31,36,12,71,66,10,72,95,89,46,43,8,20,68,62,38,15,13,53,48,44,60,28,65,13,23,43,17,28,11,67,44,84,92,74,98,57,86,95,17,80,49,70,80,55,55,6,94,95,2,86,78,76,52,55,65,80,78,41,85,52,98,88,21,17,97,64,29
B 90,0,48,91,12,70,40,52,7,16,38,68,97,74,45,100,20,54,24,68,78,12,70,60,46,100,32,19,21,36,100,24,55,23,64,96,19,92,57,78,17,87,45,86,38,32,15,84,23,30,50,46,30,43,17,94,29,1,92,92,100,54,52,20,6,89,89,81,74,78,22,15,45,4,68,63,42,86,93,57,71,19,46,25,96,72,84,88,21,82,52,31,73,55,33,99,82,89,59,74
C 1,48,0,63,52,11,29,74,27,72,55,15,99,74,2,34,79,71,84,42,90,28,27,76,62,44,59,15,31,7,28,27,84,61,7,82,55,46,5,57,87,21,72,39,46,66,73,62,26,32,35,43,55,34,36,56,98,51,15,73,5,5,52,100,43,32,21,40,37,42,59,86,67,98,78,60,64,100,85,27,8,87,39,24,4,41,23,80,50,76,37,46,75,98,89,8,50,99,99,19
D 57,91,63,0,77,45,91,93,11,9,78,81,5,9,35,20,4,91,61,99,83,47,6,54,22,69,43,68,47,47,57,38,5,22,20,34,49,56,91,60,20,5,11,97,20,30,59,31,68,70,6,96,20,16,99,11,95,64,90,31,55,40,15,54,65,12,44,77,12,67,24,78,82,91,80,83,52,96,51,53,70,7,20,18,6,72,14,3,5,68,80,9,47,39,38,90,27,69,44,86
E 59,12,52,77,0,23,61,35,59,36,36,87,47,76,87,25,3,9,99,41,25,85,49,48,98,88,16,97,86,62,75,65,3,32,94,49,3,98,89,24,61,32,28,9,24,10,70,33,9,10,64,14,86,36,97,69,78,19,34,85,14,97,71,56,86,86,29,78,98,25,100,82,48,22,20,83,96,92,84,49,41,71,30,38,87,18,70,65,76,70,61,79,72,45,40,18,47,66,48,39
F 22,70,11,45,23,0,53,54,85,30,22,93,74,85,2,85,19,37,36,55,67,27,41,79,51,92,96,33,26,1,20,77,64,98,14,29,48,51,45,28,1,2,94,13,76,54,48,59,64,5,56,57,100,8,55,93,55,30,85,42,4,88,29,92,67,87,95,1,100,14,37,74,29,42,62,30,64,24,65,57,58,36,6,94,70,19,42,49,5,98,47,85,33,82,49,27,69,22,58,35
G 2,40,29,91,61,53,0,91,55,17,94,19,97,85,69,35,52,16,36,72,7,22,68,40,52,7,48,32,51,63,92,21,90,98,78,91,17,68,11,52,88,18,93,80,67,99,1,71,66,99,45,50,29,29,94,60,17,64,2,93,85,39,72,65,47,32,97,99,57,61,5,1,85,62,12,36,14,93,92,19,48,90,88,80,32,49,71,35,77,59,36,86,24,65,10,91,22,3,4,56
H 32,52,74,93,35,54,91,0,78,83,34,90,41,82,70,44,66,38,83,19,67,13,48,47,82,97,84,30,62,53,49,22,47,42,22,4,81,11,94,12,5,29,28,32,70,97,46,20,86,45,48,53,77,6,84,90,10,34,28,9,47,52,40,82,24,44,8,90,7,46,39,51,16,90,30,90,45,54,72,77,8,7,21,85,43,97,70,53,86,99,39,79,65,44,84,76,51,6,33,95
I 17,7,27,11,59,85,55,78,0,34,85,88,12,69,24,57,13,60,15,11,73,86,7,38,1,19,45,25,91,4,65,2,55,9,84,47,95,65,26,71,23,12,78,31,85,43,99,75,76,20,64,47,65,1,26,5,16,77,87,42,46,14,55,37,37,7,28,50,32,66,71,72,63,15,48,45,28,86,5,67,64,5,65,25,58,28,87,70,75,28,96,36,75,20,49,65,38,90,95,38
J 65,16,72,9,36,30,17,83,34,0,6,68,86,33,90,98,64,25,13,32,29,17,78,45,55,78,10,70,9,48,93,92,69,69,5,24,72,42,97,51,92,71,83,10,27,71,85,82,83,97,68,37,51,9,63,84,54,29,65,1,56,61,73,16,57,29,93,90,4,52,15,74,83,65,15,62,47,29,10,85,17,29,48,23,48,85,45,48,51,10,66,66,3,68,62,19,47,39,18,37
K 5,38,55,78,36,22,94,34,85,6,0,21,78,81,56,97,97,46,34,94,2,88,68,55,50,94,77,88,9,87,78,51,4,4,46,8,43,42,69,69,11,55,95,27,61,97,70,27,54,39,53,73,47,100,96,2,30,83,51,37,2,32,55,19,53,63,70,73,32,79,76,70,39,84,98,82,37,62,40,74,100,37,74,29,79,2,29,3,41,44,80,100,54,73,58,81,91,37,39,70
L 86,68,15,81,87,93,19,90,88,68,21,0,12,8,94,52,52,28,71,91,22,22,24,64,88,51,49,15,10,5,24,63,83,13,59,63,11,32,54,58,43,48,86,39,36,34,50,27,33,39,82,42,58,92,30,16,48,87,3,92,6,33,91,48,31,26,69,100,40,87,24,20,15,22,75,67,46,38,79,78,16,32,40,70,47,20,45,37,51,38,62,28,22,65,5,97,31,86,2,39
M 29,97,99,5,47,74,97,41,12,86,78,12,0,76,98,2,43,34,9,68,23,57,76,84,11,34,19,83,43,28,42,55,46,1,9,35,28,77,82,39,17,62,87,70,12,3,100,24,39,100,40,4,2,78,29,85,44,64,86,86,99,92,44,73,70,16,84,61,40,2,80,22,42,55,7,99,26,26,70,17,71,96,36,2,71,3,82,94,57,13,1,64,12,64,46,45,55,35,60,97
N 59,74,74,9,76,85,85,82,69,33,81,8,76,0,61,12,5,17,73,46,80,56,11,50,26,9,89,22,12,4,71,67,6,75,72,50,70,67,44,90,31,14,59,80,82,63,49,81,72,24,54,3,58,78,47,54,62,15,23,73,95,95,72,41,8,15,87,36,48,50,42,5,55,34,26,27,78,30,31,70,70,82,35,3,25,40,83,34,7,52,31,74,56,35,15,69,27,33,63,98
O 66,45,2,35,87,2,69,70,24,90,56,94,98,61,0,42,31,34,49,34,50,86,40,4,37,78,2,9,98,19,45,66,68,60,17,11,56,65,76,63,77,43,1,29,31,55,65,88,96,39,40,84,95,11,52,97,88,24,86,14,61,14,77,14,27,62,87,87,33,60,49,38,94,4,73,81,70,80,53,5,37,36,16,94,67,16,98,4,48,94,45,66,38,80,6,41,19,4,100,79
P 80,100,34,20,25,85,35,44,57,98,97,52,2,12,42,0,64,3,66,72,62,79,86,53,74,91,95,89,33,98,77,65,15,35,24,39,43,92,1,9,4,24,35,73,17,93,66,95,68,53,64,53,14,19,57,37,99,59,31,64,15,65,92,64,81,55,34,47,48,38,25,15,32,35,45,93,99,55,72,96,52,83,90,65,24,95,83,29,6,46,71,57,89,31,37,26,75,5,51,70
Q 27,20,79,4,3,19,52,66,13,64,97,52,43,5,31,64,0,32,69,92,50,100,33,86,24,5,45,14,50,49,38,97,78,31,67,65,39,96,90,80,80,97,94,36,89,35,33,55,65,82,92,63,20,54,21,38,4,61,65,30,90,58,89,79,54,94,82,9,94,50,83,47,88,48,75,41,58,80,68,58,45,13,38,64,64,40,98,85,80,54,17,19,55,33,31,72,61,7,90,29
R 15,54,71,91,9,37,16,38,60,25,46,28,34,17,34,3,32,0,5,83,35,48,98,4,54,50,63,60,98,99,10,30,61,7,13,79,81,32,96,77,44,100,57,98,20,91,18,83,34,80,13,76,82,12,61,36,84,98,72,44,60,72,44,80,93,38,34,27,99,73,79,35,16,52,42,25,6,68,23,19,98,84,66,87,55,26,43,11,58,61,78,74,74,89,31,67,28,83,60,23
S 60,24,84,61,99,36,36,83,15,13,34,71,9,73,49,66,69,5,0,40,57,56,90,98,16,68,24,18,93,71,33,46,90,67,36,57,50,17,43,35,36,6,84,61,16,41,54,28,7,84,92,63,100,24,5,100,71,49,64,67,56,26,75,81,60,82,15,65,70,68,61,33,30,24,17,52,17,76,16,19,71,71,91,76,23,62,59,55,72,35,3,27,61,27,61,93,90,57,53,62
T 27,68,42,99,41,55,72,19,11,32,94,91,68,46,34,72,92,83,40,0,61,74,15,28,34,51,44,90,22,53,30,78,91,51,20,83,1,14,15,27,53,92,8,5,66,50,18,1,21,72,9,53,24,44,10,93,79,48,80,30,5,63,87,40,87,91,67,32,70,47,34,57,98,62,78,96,7,69,15,74,69,35,17,99,48,30,97,81,27,29,40,20,44,24,6,44,7,10,12,36
U 35,78,90,83,25,67,7,67,73,29,2,22,23,80,50,62,50,35,57,61,0,54,58,73,66,1,31,22,75,68,45,27,17,85,28,61,47,46,47,23,73,65,59,83,14,86,54,16,23,9,52,49,16,41,26,94,11,78,78,40,84,47,89,48,90,25,8,100,87,74,2,61,38,92,25,64,7,96,44,62,76,7,50,40,32,76,4,61,94,21,10,27,54,21,27,83,78,8,8,44
V 44,12,28,47,85,27,22,13,86,17,88,22,57,56,86,79,100,48,56,74,54,0,39,7,29,17,81,79,80,90,37,53,88,48,84,82,28,89,78,49,35,2,67,59,65,51,15,64,69,39,49,72,71,53,25,45,45,23,38,32,64,52,4,34,96,89,21,93,92,93,40,90,68,47,72,11,77,13,9,64,11,18,14,48,80,32,35,67,9,19,77,39,49,67,78,37,34,42,36,33
W 92,70,27,6,49,41,68,48,7,78,68,24,76,11,40,86,33,98,90,15,58,39,0,22,60,15,6,80,29,85,73,51,39,35,33,56,24,82,84,72,29,75,27,67,85,44,57,94,85,69,8,83,16,98,5,18,29,48,93,49,28,21,54,75,92,2,91,7,64,49,56,53,20,43,85,76,92,11,22,98,72,55,80,68,32,57,29,71,96,7,53,42,6,59,16,68,12,25,71,85
X 86,60,76,54,48,79,40,47,38,45,55,64,84,50,4,53,86,4,98,28,73,7,22,0,42,93,59,8,14,80,90,94,10,5,10,30,73,35,1,19,54,41,65,16,53,59,22,5,52,93,87,95,46,50,83,60,30,85,34,82,27,38,81,40,95,69,11,17,74,60,58,23,39,11,85,52,29,86,69,89,74,8,96,2,99,8,59,72,69,32,58,44,18,26,87,86,72,51,20,78
Y 28,46,62,22,98,51,52,82,1,55,50,88,11,26,37,74,24,54,16,34,66,29,60,42,0,100,49,84,7,36,40,66,95,20,29,34,16,94,64,37,6,55,85,63,80,13,87,67,94,42,74,48,13,100,10,50,58,1,95,72,69,99,30,35,19,88,28,9,68,58,27,57,90,18,14,22,49,43,29,46,10,38,34,29,58,63,76,64,36,21,63,33,100,1,74,83,19,22,47,40
